AH_hour,H_hour,T1_hour,T2_hour,T3_hour,T4_hour,T5_hour,quality_class
7.9,156.4465,283,335,569,350,234,Good
6.96,156.0001667,257,334,526,357,237,Good
7.29,156.047,244,325,500,357,248,Good
7.11,188.4816667,242,320,519,352,256,Good
7.97,194.0805,231,318,511,351,267,Good
7.71,194.3631667,212,313,502,346,267,Good
8.63,193.7856667,209,314,493,341,270,Good
7.78,193.7645,202,312,501,350,265,Good
7.17,194.0396667,203,309,511,350,263,Good
6.75,193.762,210,312,507,368,259,Good
9.19,194.1901667,206,305,540,380,244,Good
7.21,191.8581667,204,302,628,378,239,Good
6.43,191.0868333,202,299,659,373,240,Good
7.52,190.6046667,201,301,646,376,248,Good
8.59,174.0673333,208,306,713,366,254,Good
6.47,169.513,215,315,552,356,253,Good
7.24,170.1378333,218,312,482,356,250,Good
9.58,169.9365,225,306,461,355,248,Good
7.84,169.8043333,242,301,468,352,248,Good
8.07,181.5541667,266,299,454,355,253,Good
7.53,192.3565,265,304,455,362,254,Good
10.11,192.0253333,287,300,448,355,273,Bad
6.63,192.4223333,295,302,433,353,284,Bad
6.69,191.9155,294,305,414,338,280,Bad
8.05,191.5366667,295,320,421,326,267,Bad
7.75,192.2925,296,350,425,320,246,Bad
5.26,191.9146667,297,370,413,314,238,Bad
7.48,191.6011667,297,351,408,322,250,Bad
7.95,192.1136667,297,346,398,323,254,Bad
7.62,172.044,296,342,405,325,260,Bad
9.16,168.5425,288,334,428,328,269,Bad
6.89,166.6615,277,355,454,343,273,Bad
8.64,161.423,269,363,483,349,272,Bad
8.25,165.8388333,258,353,483,345,266,Good
9.32,180.0788333,261,341,491,349,266,Good
7.98,179.838,260,344,494,347,266,Good
7.8,179.7321667,267,361,496,349,261,Good
7.33,180.5746667,281,370,487,356,275,Good
6.22,182.6158333,287,379,470,371,270,Bad
7.62,155.9643333,288,378,454,377,266,Bad
7.69,156.0713333,275,380,448,373,263,Bad
6.9,155.9665,272,366,441,365,264,Bad
7.91,189.3746667,261,359,439,345,273,Bad
9.08,192.7951667,242,348,449,339,281,Bad
9.11,192.5608333,234,332,461,351,281,Bad
5.68,193.2993333,237,329,487,356,279,Bad
7.44,192.805,242,335,508,351,268,Good
6.82,192.9918333,244,344,512,356,254,Good
8.28,192.9413333,236,337,541,357,239,Good
